vendorid,vendorname,category,region,country,contractstartdate,contractenddate,contractvalue_usd,actualspend_usd,deliveryleadtime_days,ontimedeliveryrate,qualityscore,defectrate_percent,paymentterms_days,invoiceaccuracy_percent,supportresponsetime_hours,compliancescore,sustainabilityrating,numorders,numlateorders,numdisputes,numescalations,primarycontact,contactemail,preferredcommunication,yearsinbusiness,certificationiso,certificationother,risktier,lastauditdate,auditscore,notes,log_contractvalue_usd,log_actualspend_usd,log_deliveryleadtime_days,log_defectrate_percent,log_supportresponsetime_hours,log_numorders,log_numescalations
V011,Lambda Foods Ltd,Food & Beverage,North America,USA,2023-01-01,2025-12-31,1100000.0,1050000.0,6.0,0.94,89.0,0.9,30.0,98.0,5.0,91.0,A,480.0,29.0,5.0,1.0,Sarah Brown,sbrown@lambdafoods.com,Email,14.0,Yes,FSSC22000,Low,2024-07-10,92.0,Strong food safety record,13.910821646859095,13.864301674514206,1.9459101490553132,0.6418538861723948,1.791759469228055,6.175867270105761,0.6931471805599453
V012,Mu Pharma Supplies,Pharmaceuticals,Europe,Switzerland,2020-04-01,2025-03-31,2020000.0,1969500.0,4.04,0.9797,94.94,0.404,90.9,99.99,2.02,96.96,A+,353.5,11.11,1.01,0.0,Claire Dubois,cdubois@mupharma.ch,Email,35.35,Yes,GMP,Low,2024-06-25,97.97,Critical supplier - audit annually,14.51860856442677,14.49329076913605,1.6174060820832772,0.3393253056036194,1.1052568313867783,5.870708345972182,0.0
V013,Nu Steel Works,Raw Materials,North America,USA,2021-08-01,2024-07-31,714000.0,734400.0,9.18,0.8772,79.56,2.856,45.9,93.84,10.2,80.58,C,316.2,44.88,11.22,5.1,Tom Harris,tharris@nusteelworks.com,Phone,28.56,Yes,ISO9001,High,2023-12-01,75.48,Price increases and delays,13.478639641880966,13.506810479943264,2.3204250111223765,1.349630376748299,2.4159137783010487,5.7595324897606925,1.8082887711792655
V014,Xi Electronics,Electronics,Asia Pacific,South Korea,2022-05-01,2025-04-30,978500.0,957900.0,7.21,0.9579,92.7,0.721,61.8,99.91,4.12,95.79,A,432.6,29.87,3.09,1.03,Kim Jae-won,jkim@xielectronics.kr,Email,20.6,Yes,RoHS,Low,2024-04-18,96.82,Strong electronics supplier,13.793777087790152,13.772499711320746,2.105352923464337,0.5429055172294023,1.6331544390514163,6.072122450125437,0.708035793053696
V015,Omicron Textiles,Textiles,Asia Pacific,Bangladesh,2021-03-01,2024-02-29,416000.0,426400.0,12.48,0.8632,74.88,4.368,62.400000000000006,91.52,15.6,70.9972,D,208.0,35.36,14.56,7.28,Rahim Chowdhury,rchowdhury@omitextiles.bd,Email,9.36,No,ISO9001,High,2023-10-05,65.52,Labor compliance issues flagged,12.938442943086665,12.963135497046782,2.601207105484161,1.6804553996693807,2.8094026953624978,5.342334251964811,2.1138429683971687
V016,Pi Automation Ltd,Automation,Europe,Germany,2023-03-01,2026-02-28,1500000.0,1420000.0,2.0,0.98,97.0,0.2,60.0,100.0,1.0,98.0,A+,190.0,4.0,0.0,0.0,Klaus Weber,kweber@piautomation.de,Email,15.0,Yes,TUV,Low,2024-09-01,99.0,Premium automation partner,14.220976332738882,14.166168133802548,1.0986122886681098,0.18232155679395465,0.6931471805599453,5.25227342804663,0.0
V017,Rho Medical Devices,Medical,North America,USA,2022-01-15,2025-01-14,1818000.0,1807900.0,5.05,0.9696,93.93,0.505,90.9,99.99,3.03,97.97,A,323.2,13.13,1.01,0.0,Dr. Amy Lee,alee@rhomedical.com,Email,22.22,Yes,FDA21CFR,Low,2024-05-30,96.96,FDA-compliant critical vendor,14.413248103774416,14.40767706179789,1.80005827204275,0.408792898200839,1.3937663759585914,5.781360609301576,0.0
V018,Sigma Waste Management,Facilities,Europe,France,2021-07-01,2024-06-30,153000.0,158100.0,2.04,0.9588,84.66,1.122,30.6,97.92,5.1,86.7,B,265.2,16.32,4.08,1.02,Jean Dupont,jdupont@sigmawaste.fr,Phone,11.22,Yes,ISO14001,Low,2024-02-14,88.74,Slight cost overrun,11.938199736300925,11.97098934828825,1.1118575154181303,0.7523590401917915,1.8082887711792655,5.5842479059610115,0.7030975114131134
V019,Tau Printing Services,Printing,Asia Pacific,Australia,2023-02-01,2025-01-31,97850.0,92700.0,3.09,0.9785,88.58,0.8240000000000001,30.9,99.91,4.12,90.64,B,175.1,9.27,2.06,0.0,James O'Brien,jobrien@tauprint.au,Email,6.18,No,ISO9001,Low,2024-07-22,91.67,Good quality printing,11.491201192496069,11.437134538982278,1.4085449700547104,0.6010318916521397,1.6331544390514163,5.17105201550216,0.0
V020,Upsilon Cloud Services,IT Services,North America,USA,2022-07-01,2025-06-30,2288000.0,2184000.0,1.04,1.0296,100.8904,0.104,93.6,104.0,1.04,101.9799,A+,520.0,5.2,0.0,0.0,Rachel Kim,rkim@upsiloncloud.com,Email,9.36,Yes,SOC2 Type II,Low,2024-09-15,102.96,Best cloud vendor,14.643189068544666,14.596669073722286,0.712949807856125,0.09893994785490356,0.712949807856125,6.255750041753367,0.0
V021,Phi Hardware Co,Manufacturing,Asia Pacific,Taiwan,2021-10-01,2024-09-30,550000.0,570000.0,8.0,0.88,80.0,2.3,45.0,93.0,9.0,81.0,B,280.0,34.0,8.0,3.0,Huang Wei,hwei@phihardware.tw,Email,17.0,Yes,ISO9001,Medium,2024-01-30,82.0,Slightly above budget,13.217675375388819,13.25339339419516,2.1972245773362196,1.1939224684724346,2.302585092994046,5.638354669333745,1.3862943611198906
V022,Chi Renewable Energy,Energy,Europe,Denmark,2023-01-01,2027-12-31,3030000.0,2929000.0,1.01,0.9999,97.97,0.101,90.9,101.0,2.02,99.99,A+,121.2,1.9901,0.0,0.0,Sofie Hansen,shansen@chirenew.dk,Email,12.12,Yes,ISO50001,Low,2024-08-05,99.99,Green energy pioneer,14.9240735075185,14.890171967223264,0.6981347220709844,0.09621885774054292,1.1052568313867783,4.805659046737495,0.0
V023,Psi Freight Solutions,Logistics,North America,USA,2021-05-01,2024-04-30,387600.0,408000.0,5.1,0.8874,80.58,2.04,30.6,93.84,8.16,81.6,C,336.6,43.86,10.2,4.08,Mike Torres,mtorres@psifreight.com,Phone,16.32,Yes,ISO9001,High,2023-09-18,74.46000000000001,Frequent delays and disputes,12.867731738974781,12.919024904363686,1.8082887711792655,1.1118575154181303,2.214846178686039,5.821861762721802,1.6253112615903906
V024,Omega Construction,Facilities,Middle East,Saudi Arabia,2020-09-01,2024-08-31,4595600.000000003,4391580.000000003,30.9,0.8755,78.28,3.193,92.7,92.7,24.72,79.31,C,61.8,9.27,8.24,4.12,Abdullah Nasser,anasser@omegacons.sa,Phone,38.408200000000015,Yes,ISO45001,High,2024-03-01,77.25,Large contract - monitor closely,15.340610099560767,15.295199856891967,3.462606009790799,1.4334164681886254,3.2472688993694185,4.139955073474153,1.6331544390514163
V025,Alpha Prime Metals,Raw Materials,Europe,Sweden,2022-06-01,2025-05-31,832000.0,816400.0,11.44,0.9464,87.36,1.664,62.400000000000006,99.84,7.28,89.44,B,384.8,35.36,6.24,2.08,Erik Lindqvist,elindqvist@alprimemetals.se,Email,24.96,Yes,ISO9001,Medium,2024-04-10,88.4,Solid metals supplier,13.631588921725701,13.612660934806836,2.5209170873110334,0.9798287526781427,2.1138429683971687,5.955319100471629,1.1249295969854831
V026,Beta Nova IT,IT Services,Asia Pacific,Japan,2023-04-01,2026-03-31,1300000.0,1250000.0,1.0,0.97,96.0,0.3,60.0,99.0,2.0,96.0,A,220.0,7.0,1.0,0.0,Tanaka Hiroshi,thiroshi@betanova.jp,Email,18.0,Yes,ISMS,Low,2024-07-18,97.0,Strong Japanese IT partner,14.077875591662238,14.038654909278163,0.6931471805599453,0.262364264467491,1.0986122886681098,5.3981627015177525,0.0
V027,Gamma Flex Staffing,Professional Services,North America,USA,2021-02-01,2024-01-31,606000.0,626200.0,1.01,0.9393,85.85,0.707,30.3,97.97,3.03,88.88,B,404.0,28.28,5.05,2.02,Nancy White,nwhite@gammaflex.com,Email,10.1,No,ISO9001,Medium,2024-02-20,86.86,Reliable staffing agency,13.314636915215106,13.347426684807054,0.6981347220709844,0.5347374438123036,1.3937663759585914,6.003887067106539,1.1052568313867783
V028,Delta Marine Logistics,Logistics,Asia Pacific,Singapore,2020-11-01,2024-10-31,918000.0,897600.0,21.42,0.8568,79.56,2.55,61.2,92.82,16.32,80.58,C,153.0,24.48,9.18,4.08,Tan Ah Kow,takow@deltamarine.sg,Phone,27.54,Yes,ISPS,High,2023-11-28,75.48,Customs delays frequent,13.729953758926653,13.707480927831945,3.109953417644014,1.2669476034873244,2.851861903134289,5.0369526024136295,1.6253112615903906
V029,Epsilon Digital Media,Marketing,Europe,Ireland,2023-05-01,2025-04-30,257500.0,247200.0,2.06,0.9991,94.76,0.412,30.9,101.97,2.06,95.79,A,185.4,5.15,1.03,0.0,Fiona O'Sullivan,fosullivan@epsilondigital.ie,Email,7.21,Yes,ISO9001,Low,2024-06-12,96.82,High quality digital campaigns,12.458778882573533,12.417957049864935,1.1184149159642893,0.34500713907105035,1.1184149159642893,5.2278949022514904,0.0
V030,Zeta AgriSupply,Food & Beverage,Africa,Kenya,2022-01-01,2025-12-31,364000.0,353600.0,14.56,0.9152,84.24000000000001,1.976,46.8,97.76,10.4,85.28,B,208.0,24.96,6.24,2.08,David Kamau,dkamau@zetaagri.ke,Email,13.52,Yes,GlobalGAP,Medium,2024-03-25,86.32000000000001,Growing agricultural partner,12.804911893867851,12.775924437795926,2.7447035187502458,1.0905801169708453,2.4336133554004498,5.342334251964811,1.1249295969854831
V031,Eta Biotech,Pharmaceuticals,North America,USA,2021-09-01,2025-08-31,1600000.0,1580000.0,4.0,0.96,93.0,0.5,90.0,99.0,3.0,96.0,A+,290.0,12.0,1.0,0.0,Dr. Priya Shah,pshah@etabiotech.com,Email,20.0,Yes,GMP,Low,2024-08-15,97.0,Critical biotech supplier,14.285514812209815,14.272936037914342,1.6094379124341003,0.4054651081081644,1.3862943611198906,5.673323267171493,0.0
V032,Theta Safety Gear,Manufacturing,Europe,Italy,2022-04-01,2024-03-31,181800.0,186850.0,6.0600000000000005,0.909,82.82000000000001,1.717,30.3,95.95,6.0600000000000005,83.83,B,222.2,22.22,5.05,1.01,Marco Rossi,mrossi@thetasafety.it,Email,9.09,Yes,CE Mark,Medium,2024-05-05,84.84,Slight quality variance,12.110667961260443,12.13806678678585,1.9544450515051508,0.9995283304442107,1.9544450515051508,5.408068230507156,0.6981347220709844
V033,Iota Data Analytics,IT Services,North America,USA,2023-06-01,2026-05-31,1122000.0,1060800.0,1.02,1.0098,99.96,0.102,61.2,102.0,1.02,100.98,A+,265.2,3.06,0.0,0.0,Kevin Park,kpark@iotadata.com,Email,8.16,Yes,SOC2,Low,2024-09-20,100.98,Top data analytics vendor,13.93062425632998,13.874534841098058,0.7030975114131134,0.09712671073072274,0.7030975114131134,5.5842479059610115,0.0
V034,Kappa Ceramics,Raw Materials,Asia Pacific,Japan,2021-05-01,2024-04-30,236900.0,231750.0,10.3,0.9476,88.58,1.3390000000000002,46.35,98.88,5.15,89.61,B,185.4,14.42,3.09,1.03,Yamamoto Kenji,kyamamoto@kappaceramics.jp,Email,32.96,Yes,ISO9001,Low,2024-04-30,90.64,Specialized ceramics supplier,12.375397611328344,12.353418798413399,2.424802725718295,0.8497234876020421,1.8164520818184267,5.2278949022514904,0.708035793053696
V035,Lambda Civil Eng,Facilities,Middle East,Qatar,2020-06-01,2024-05-31,4368000.0,4264000.0,31.05900000000008,0.8632,78.0,3.64,93.6,92.56,24.784800000000033,76.96000000000001,C,61.65,8.32,7.28,5.2,Mohammed Al-Rashid,malrashid@lambdacivil.qa,Phone,36.4,Yes,ISO45001,High,2024-01-10,74.88,Large infra project - active monitoring,15.289816025344582,15.265718479349365,3.467577955179036,1.534714366238164,3.249785171025295,4.137563681342077,1.824549292051046
V036,Mu Freight Forwarding,Logistics,Africa,South Africa,2022-08-01,2025-07-31,420000.0,430000.0,8.0,0.9,82.0,1.8,45.0,94.0,7.0,83.0,B,250.0,25.0,6.0,2.0,Sipho Nkosi,snkosi@mufreight.za,Email,14.0,Yes,IATA,Medium,2024-06-08,84.0,Expanding African network,12.948012371209098,12.971542813248437,2.1972245773362196,1.0296194171811581,2.0794415416798357,5.5254529391317835,1.0986122886681098
V037,Nu Robotics,Automation,Asia Pacific,South Korea,2023-02-01,2026-01-31,2525000.0,2424000.0,3.03,0.9797,96.96,0.303,90.9,99.99,2.02,97.97,A+,151.5,5.05,0.0,0.0,Park Jun-seo,jpak@nurobots.kr,Email,11.11,Yes,CE Mark,Low,2024-08-30,98.98,Cutting edge robotics,14.741752016731123,14.700930038712512,1.3937663759585914,0.26466929814270806,1.1052568313867783,5.0271645960474665,0.0
V038,Xi Solar Energy,Energy,North America,USA,2021-12-01,2026-11-30,1836000.0,1785000.0,2.04,0.9996,96.9,0.306,91.8,100.98,2.04,99.96,A+,204.0,4.08,0.0,0.0,Carlos Mendez,cmendez@xisolar.com,Email,10.2,Yes,UL Certified,Low,2024-07-12,99.96,Excellent green energy,14.423100394824734,14.394929533419809,1.1118575154181303,0.2669690308542393,1.1118575154181303,5.3230099791384085,0.0
V039,Omicron Furniture,Office Supplies,Europe,Poland,2022-03-01,2025-02-28,133900.0,131840.0,7.21,0.9579,86.52,1.236,30.9,98.88,5.15,88.58,B,195.7,13.39,3.09,0.0,Piotr Kowalski,pkowalski@omifurniture.pl,Email,16.48,Yes,ISO9001,Low,2024-05-18,89.61,Good quality office furniture,11.804855999911272,11.789351930065989,2.105352923464337,0.8046885552928528,1.8164520818184267,5.281679725395013,0.0
V040,Pi Security Systems,IT Services,North America,USA,2022-10-01,2025-09-30,707200.0,686400.0,1.04,1.0192,98.8,0.416,62.400000000000006,102.96,2.08,99.84,A,239.2,5.2,1.04,0.0,Sandra White,swhite@pisecurity.com,Email,13.52,Yes,ISO27001,Low,2024-09-05,99.84,Strong cybersecurity vendor,13.46907020433172,13.439217284031285,0.712949807856125,0.34783599527152803,1.1249295969854831,5.481471909645883,0.0
V041,Rho Textile Exports,Textiles,Asia Pacific,Vietnam,2021-06-01,2024-05-31,310000.0,320000.0,13.0,0.85,74.0,3.8,45.0,89.0,14.0,71.0,D,170.0,26.0,12.0,6.0,Nguyen Van Hai,nvhai@rhotextile.vn,Email,8.0,No,ISO9001,High,2023-08-12,65.27720000000001,Ethics compliance concerns,12.644330802262578,12.676079399771027,2.6390573296152584,1.5686159179138452,2.70805020110221,5.14166355650266,1.9459101490553132
V042,Sigma Marine Parts,Manufacturing,Europe,Greece,2022-07-01,2025-06-30,292900.0,287850.0,9.09,0.9191,83.83,1.515,45.45,95.95,7.07,84.84,B,212.1,19.19,4.04,1.01,Nikos Papadopoulos,npapadopoulos@sigmamarine.gr,Email,20.2,Yes,ISO9001,Low,2024-04-22,86.86,Reliable marine parts supplier,12.587589946944513,12.570198264129536,2.3115448343655176,0.9222728035517025,2.0881534822818573,5.361761539104571,0.6981347220709844
V043,Tau Chemical Dist,Raw Materials,North America,USA,2021-04-01,2024-03-31,652800.0,663000.0,8.16,0.8976000000000001,81.6,2.244,61.2,94.86,9.18,82.62,C,306.0,36.72,8.16,3.06,Greg Nelson,gnelson@tauchem.com,Phone,19.38,Yes,REACH,Medium,2024-01-28,81.6,Cost overruns and delays,13.389027614493607,13.404531777462488,2.214846178686039,1.1768071362531665,2.3204250111223765,5.726847747587197,1.4011829736136414
V044,Upsilon Wind Energy,Energy,Europe,Spain,2023-01-01,2027-12-31,2884000.0,2781000.0,2.06,1.0094,97.85,0.206,92.7,103.0,2.06,99.91,A+,113.3,2.06,0.0,0.0,Maria Fernandez,mfernandez@upsilonwind.es,Email,15.45,Yes,ISO50001,Low,2024-09-10,100.94,Premier wind energy vendor,14.874689124127555,14.83832149279892,1.1184149159642893,0.1873090983049937,1.1184149159642893,4.738826570800765,0.0
V045,Phi Robotics Parts,Manufacturing,Asia Pacific,China,2022-01-01,2025-12-31,780000.0,811200.0,11.44,0.8736,79.04,3.3280000000000003,62.400000000000006,93.6,13.52,80.08,C,353.6,57.2,13.52,6.24,Liu Yang,lyang@phirobotics.cn,Phone,12.48,Yes,ISO9001,High,2023-12-15,73.84,Quality and delivery issues,13.567050480716235,13.606271144559914,2.5209170873110334,1.4651055415441805,2.67552700939665,5.870990393640108,1.979621206397625
V046,Chi Consulting,Professional Services,Europe,France,2022-09-01,2025-08-31,380000.0,365000.0,2.0,0.96,91.0,0.5,30.0,99.0,2.0,93.0,A,210.0,8.0,1.0,0.0,Sophie Martin,smartin@chiconsult.fr,Email,14.0,Yes,ISO9001,Low,2024-06-28,94.0,Very strong consulting services,12.847929163278053,12.807655372286902,1.0986122886681098,0.4054651081081644,1.0986122886681098,5.351858133476067,0.0
V047,Psi Grain Trading,Food & Beverage,Africa,Nigeria,2021-10-01,2024-09-30,484800.0,464600.0,18.18,0.8686,79.79,2.424,60.6,92.92,13.13,80.8,C,181.8,25.25,8.08,4.04,Chidi Okonkwo,cokonkwo@psigrains.ng,Phone,21.21,Yes,GlobalGAP,High,2023-11-05,77.77,Import compliance issues,13.091493776441386,13.048934251705282,2.953868069455292,1.2308094582794957,2.6483001966964363,5.20839265902005,1.6174060820832772
V048,Omega Tech Hardware,Electronics,North America,USA,2022-06-01,2025-05-31,1071000.0,1040400.0,5.1,0.969,93.84,0.612,61.2,99.96,3.06,94.86,A,397.8,20.4,2.04,0.0,Bruce Adams,badams@omegatechhw.com,Email,16.32,Yes,RoHS,Low,2024-08-12,96.9,Strong hardware vendor,13.884104283136265,13.855116773724953,1.8082887711792655,0.47747564408443655,1.4011829736136414,5.988460038087683,0.0
V049,Alpha Dental Supplies,Pharmaceuticals,Europe,Belgium,2021-03-01,2025-02-28,432600.0,427450.0,5.15,0.9785,93.73,0.721,61.8,100.94,3.09,94.76,A,247.2,12.36,2.06,0.0,Luc Peeters,lpeeters@alphadental.be,Email,18.54,Yes,CE Mark,Low,2024-07-05,95.79,Niche dental supplies leader,12.977571104102678,12.96559494090655,1.8164520818184267,0.5429055172294023,1.4085449700547104,5.514234872770507,0.0
V050,Beta Outsource BPO,Professional Services,Asia Pacific,Philippines,2023-01-01,2025-12-31,936000.0,904800.0,1.04,1.0088,96.72,0.416,31.200000000000003,102.96,2.08,97.76,A,624.0,18.72,2.08,0.0,Maria Santos,msantos@betabpo.ph,Email,10.4,Yes,ISO27001,Low,2024-09-01,98.8,Outstanding BPO partner,13.749371823835228,13.71547030900006,0.712949807856125,0.34783599527152803,1.1249295969854831,6.437751649736401,0.0
V051,Gamma Packaging,Packaging,Europe,Netherlands,2022-05-01,2025-04-30,195000.0,190000.0,4.0,0.94,87.0,1.0,30.0,97.0,4.0,89.0,B,230.0,14.0,3.0,0.0,Hans Bakker,hbakker@gammapkg.nl,Email,11.0,Yes,FSC,Low,2024-06-15,90.0,Eco-friendly packaging,12.180759965737863,12.154784614286667,1.6094379124341003,0.6931471805599453,1.6094379124341003,5.442417710521793,0.0
V052,Delta Air Freight,Logistics,North America,USA,2021-08-01,2025-07-31,565600.0,580750.0,2.02,0.9191,83.83,1.414,30.3,95.95,6.0600000000000005,84.84,B,313.1,28.28,6.0600000000000005,2.02,Chris Evans,cevans@deltaairfreight.com,Email,20.2,Yes,IATA,Medium,2024-02-08,85.85,Competitive air freight,13.245644161596884,13.272077372542494,1.1052568313867783,0.8812851226753398,1.9544450515051508,5.749711406544601,1.1052568313867783
V053,Epsilon Labs,IT Services,Europe,Germany,2023-03-01,2026-02-28,897600.0,856800.0,1.02,1.0098,98.94,0.204,61.2,102.0,1.02,99.96,A+,193.8,2.04,0.0,0.0,Helga Schmidt,hschmidt@epsilonlabs.de,Email,9.18,Yes,ISO27001,Low,2024-08-28,100.98,Exceptional R&D partner,13.707480927831945,13.660960965248515,0.7030975114131134,0.1856493468866293,0.7030975114131134,5.271973391208435,0.0
V054,Zeta Metals Casting,Manufacturing,Asia Pacific,India,2022-02-01,2025-01-31,473800.0,489250.0,10.3,0.9064,82.4,2.1630000000000003,46.35,95.79,9.27,83.43,B,267.8,31.93,7.21,3.09,Suresh Patel,spatel@zetametals.in,Phone,22.66,Yes,ISO9001,Medium,2024-03-18,84.46000000000001,Casting quality improving,13.068542681299782,13.100630929201047,2.424802725718295,1.151520944323512,2.329227023940467,5.5939676086489944,1.4085449700547104
V055,Eta Farm Fresh,Food & Beverage,North America,USA,2023-02-01,2026-01-31,707200.0,686400.0,5.2,0.988,93.6,0.8320000000000001,31.200000000000003,101.92,4.16,94.64,A,312.0,15.6,2.08,0.0,Jessica Day,jday@etafarmfresh.com,Email,8.32,Yes,USDA Organic,Low,2024-07-20,96.72,Organic certified partner,13.46907020433172,13.439217284031285,1.824549292051046,0.6054082662519386,1.6409365794934714,5.746203190540153,0.0
V056,Theta Steel Tubes,Raw Materials,Europe,Czech Republic,2021-11-01,2024-10-31,340000.0,350000.0,8.0,0.89,81.0,1.9,45.0,93.0,8.0,82.0,B,240.0,27.0,6.0,2.0,Jan Novak,jnovak@thetasteeltubes.cz,Email,17.0,Yes,ISO9001,Medium,2024-01-22,83.0,Minor overruns,12.73670383776449,12.765691290604371,2.1972245773362196,1.0647107369924282,2.1972245773362196,5.484796933490655,1.0986122886681098
V057,Iota Pest Control,Facilities,Asia Pacific,Australia,2022-04-01,2025-03-31,77033.0,74973.4,2.02,0.9696,88.88,0.909,30.3,97.97,3.03,89.89,B,161.6,6.0600000000000005,1.01,0.0,Bruce Lee,blee@iotapest.au,Email,12.12,No,ISO9001,Low,2024-05-02,90.9,Good service contract,11.252002161819139,11.224902000917632,1.1052568313867783,0.6465795447436106,1.3937663759585914,5.0912931971137105,0.0
V058,Kappa 3D Printing,Manufacturing,North America,USA,2023-04-01,2026-03-31,326400.0,311100.0,2.04,0.9996,98.94,0.204,30.6,102.0,2.04,99.96,A+,142.8,3.06,0.0,0.0,Amanda Fox,afox@kappa3d.com,Email,6.12,Yes,ISO9001,Low,2024-08-10,100.98,Innovative additive mfg partner,12.695881965792886,12.647872897281076,1.1118575154181303,0.1856493468866293,1.1118575154181303,4.9684234452869465,0.0
V059,Lambda Audio Visual,IT Services,Europe,UK,2022-01-15,2025-01-14,216300.0,211150.0,3.09,0.9785,90.64,0.8240000000000001,30.9,99.91,4.12,91.67,B,206.0,10.3,2.06,0.0,Barry Jones,bjones@lambdaav.co.uk,Email,14.42,Yes,ISO9001,Low,2024-04-25,92.7,Good AV integration services,12.28442623513897,12.260328796320564,1.4085449700547104,0.6010318916521397,1.6331544390514163,5.332718793265369,0.0
